Well_ID,Type,Water_Rate_bpd,Tracer_Conc_ppm
INJ-01,Injector,5815.71,1000.0
INJ-02,Injector,5145.03,1000.0
INJ-03,Injector,5411.83,1000.0
INJ-04,Injector,4762.74,1000.0
INJ-05,Injector,4117.12,1000.0
INJ-06,Injector,5356.45,1000.0
INJ-07,Injector,4652.78,1000.0
INJ-08,Injector,4164.98,1000.0
INJ-09,Injector,5355.32,1000.0
INJ-10,Injector,5084.34,1000.0
PROD-01,Producer,1927.93,20.25
PROD-02,Producer,1835.8,948.25
PROD-03,Producer,1067.99,947.47
PROD-04,Producer,1028.15,626.59
PROD-05,Producer,1520.67,338.45
PROD-06,Producer,1294.9,894.09
PROD-07,Producer,1601.46,347.33
PROD-08,Producer,1288.33,653.52
PROD-09,Producer,1384.74,419.22
PROD-10,Producer,1027.96,378.71
PROD-11,Producer,1405.81,287.92
PROD-12,Producer,1457.58,718.39
PROD-13,Producer,1364.48,3.68
PROD-14,Producer,2121.37,550.36
PROD-15,Producer,1439.28,934.15
PROD-16,Producer,1417.15,440.43
PROD-17,Producer,833.38,612.03
PROD-18,Producer,1552.81,293.77
PROD-19,Producer,1516.37,451.55
PROD-20,Producer,1099.82,672.99
PROD-21,Producer,1694.63,298.06
PROD-22,Producer,1591.4,783.79
PROD-23,Producer,1272.13,496.29
PROD-24,Producer,1315.94,135.45
PROD-25,Producer,2077.64,477.32
PROD-26,Producer,1317.82,297.85
PROD-27,Producer,2070.89,428.69
PROD-28,Producer,1435.25,904.22
PROD-29,Producer,1597.12,601.12
PROD-30,Producer,1834.21,466.18
PROD-31,Producer,1318.51,509.29
PROD-32,Producer,1608.51,338.69
PROD-33,Producer,1587.03,394.2
PROD-34,Producer,1043.26,560.16
PROD-35,Producer,1442.04,405.35
PROD-36,Producer,1362.35,781.59
PROD-37,Producer,1865.71,568.53
PROD-38,Producer,2282.12,656.77
PROD-39,Producer,1464.95,266.01
PROD-40,Producer,1932.58,433.02
